"","year","length"
"7447",1986,70
"7448",1966,88
"7449",1978,91
"7450",1973,85
"7451",1954,108
"7452",1965,81
"7453",1952,94
"7454",1996,117
"7455",1952,82
"7456",1961,110
"7457",2001,119
"7458",1940,114
"7459",1991,94
"7460",1934,83
"7461",1950,110
"7462",2003,107
"7463",1930,69
"7464",1935,83
"7465",1988,110
"7466",1953,68
"7467",1923,80
"7468",1951,96
"7469",2003,105
"7470",2000,25
"7471",1986,108
"7472",1947,92
"7473",1945,67
"7474",1967,89
"7475",1966,75
"7476",1996,88
"7477",1968,100
"7478",1949,90
"7479",1982,87
"7480",1932,65
"7481",2000,98
"7482",1974,112
"7483",1986,4
"7484",1989,8
"7485",1997,100
"7486",1955,83
"7487",1937,11
"7488",1945,92
"7489",1985,97
"7490",2003,105
"7491",1999,121
"7492",2003,82
"7493",1938,102
"7494",1978,104
"7495",1982,111
"7496",1949,90
"7497",1933,80
"7498",1934,80
"7499",1940,61
"7500",1970,54
"7501",2002,83
"7502",1939,105
"7503",2005,7
"7504",1995,84
"7505",1987,133
"7506",1931,72
"7507",1942,91
"7508",1902,1
"7509",1929,86
"7510",1933,61
"7511",1934,104
"7512",1997,110
"7513",1984,84
"7514",1935,99
"7515",1935,68
"7516",1941,75
"7517",1935,101
"7518",1937,110
"7519",1940,102
"7520",1929,101
"7521",1938,63
"7522",1944,115
"7523",1931,15
"7524",1939,109
"7525",1933,90
"7526",1958,12
"7527",1932,60
"7528",1933,85
"7529",1930,10
"7530",2003,111
"7531",1966,97
"7532",2004,89
"7533",2002,84
"7534",2003,80
"7535",1999,100
"7536",2000,29
"7537",2002,17
"7538",2004,14
"7539",2002,23
"7540",1950,93
"7541",1996,108
"7542",1995,97
"7543",1936,84
"7544",1919,90
"7545",1910,17
"7546",1999,81
"7547",1985,6
"7548",1933,68
"7549",1981,93
"7550",1996,92
"7551",1998,83
"7552",1994,97
"7553",2000,94
"7554",1993,98
"7555",1948,89
"7556",1954,96
"7557",1962,75
"7558",1959,6
"7559",1932,76
"7560",1987,75
"7561",1985,70
"7562",1965,89
"7563",1995,106
"7564",1940,60
"7565",2002,15
"7566",1935,8
"7567",1975,60
"7568",1998,90
"7569",2002,91
"7570",1926,24
"7571",1980,116
"7572",1969,86
"7573",1952,80
"7574",1925,66
"7575",1978,81
"7576",1991,90
"7577",1979,71
"7578",1990,30
"7579",1932,11
"7580",1993,121
"7581",1990,91
"7582",1939,58
"7583",2002,90
"7584",1979,90
"7585",2001,89
"7586",2004,90
"7587",1981,58
"7588",2000,95
"7589",1997,89
"7590",1956,7
"7591",1995,16
"7592",1997,80
"7593",2001,10
"7594",1998,20
"7595",1959,77
"7596",1999,8
"7597",2000,114
"7598",2003,85
"7599",2001,76
"7600",1944,7
"7601",1971,95
"7602",1994,115
"7603",1940,88
"7604",2003,83
"7605",1938,90
"7606",1940,87
"7607",1998,109
"7608",1984,106
"7609",1973,88
"7610",2004,94
"7611",1992,104
"7612",1997,92
"7613",1975,103
"7614",1976,90
"7615",1971,92
"7616",1968,96
"7617",1936,6
"7618",1965,7
"7619",1958,145
"7620",1995,98
"7621",1973,95
"7622",1957,92
"7623",2003,68
"7624",1957,94
"7625",1995,102
"7626",1949,60
"7627",1947,98
"7628",2003,54
"7629",1940,92
"7630",2003,119
"7631",2001,36
"7632",2002,109
"7633",1926,85
"7634",1935,70
"7635",1998,104
"7636",1951,90
"7637",1994,97
"7638",1980,132
"7639",2003,101
"7640",1992,25
"7641",2004,70
"7642",1978,94
"7643",1990,71
"7644",1976,84
"7645",1992,85
"7646",1982,87
"7647",1977,88
"7648",1979,88
"7649",1980,91
"7650",1984,87
"7651",1996,90
"7652",1989,118
"7653",1976,97
"7654",2002,118
"7655",1955,113
"7656",1954,100
"7657",1928,11
"7658",1981,90
"7659",1988,83
"7660",1976,90
"7661",2000,108
"7662",2001,6
"7663",1998,16
"7664",1983,90
"7665",1982,99
"7666",1993,97
"7667",1914,33
"7668",1947,98
"7669",1946,58
"7670",1977,90
"7671",1978,107
"7672",1953,81
"7673",1976,115
"7674",1996,90
"7675",2000,50
"7676",1995,95
"7677",1998,106
"7678",2000,85
"7679",1994,85
"7680",1997,12
"7681",1970,102
"7682",2004,90
"7683",2000,3
"7684",2003,82
"7685",1998,103
"7686",2003,84
"7687",1987,95
"7688",1978,81
"7689",2004,93
"7690",1971,80
"7691",2002,92
"7692",1996,35
"7693",1949,7
"7694",2001,84
"7695",1953,17
"7696",1966,94
"7697",1998,11
"7698",1922,7
"7699",1930,8
"7700",1996,94
"7701",1971,105
"7702",1948,7
"7703",1950,77
"7704",1938,125
"7705",1958,119
"7706",1958,78
"7707",1995,92
"7708",1940,82
"7709",2001,85
"7710",2004,10
"7711",1928,70
"7712",1941,84
"7713",1947,77
"7714",1939,237
"7715",1977,90
"7716",1934,10
"7717",1979,98
"7718",1999,99
"7719",1972,102
"7720",1944,9
"7721",1951,60
"7722",1959,66
"7723",1988,94
"7724",1917,53
"7725",1894,1
"7726",1966,89
"7727",1968,97
"7728",1943,76
"7729",1957,66
"7730",1975,94
"7731",1948,90
"7732",1997,83
"7733",1959,99
"7734",1959,107
"7735",2002,94
"7736",1983,97
"7737",1962,9
"7738",1980,90
"7739",1997,84
"7740",2003,100
"7741",1999,105
"7742",1981,96
"7743",1978,113
"7744",1984,110
"7745",1990,105
"7746",2001,18
"7747",1967,79
"7748",1981,87
"7749",1998,90
"7750",1996,104
"7751",2000,2
"7752",1999,105
"7753",1997,99
"7754",1999,11
"7755",2004,93
"7756",1996,107
"7757",1996,122
"7758",1998,102
"7759",1996,19
"7760",1998,110
"7761",1944,90
"7762",1947,69
"7763",1976,123
"7764",1952,66
"7765",1901,2
"7766",2001,23
"7767",1894,1
"7768",1897,1
"7769",1961,72
"7770",2001,98
"7771",1979,89
"7772",1992,86
"7773",2001,96
"7774",1993,90
"7775",1975,99
"7776",2003,14
"7777",1998,93
"7778",2003,22
"7779",2001,84
"7780",1941,6
"7781",1998,96
"7782",1999,82
"7783",1945,105
"7784",1969,6
"7785",1942,102
"7786",1952,85
"7787",1942,7
"7788",1944,8
"7789",1948,7
"7790",1976,90
"7791",1944,7
"7792",1982,74
"7793",1954,7
"7794",1932,7
"7795",1956,7
"7796",1991,134
"7797",1976,93
"7798",1957,7
"7799",1980,92
"7800",2000,100
"7801",1933,7
"7802",1979,94
"7803",2000,80
"7804",2003,130
"7805",1984,110
"7806",1999,101
"7807",1990,97
"7808",1995,125
"7809",2000,175
"7810",1981,99
"7811",1992,99
"7812",2000,115
"7813",1988,108
"7814",1960,97
"7815",1929,90
"7816",1937,64
"7817",1937,67
"7818",1934,83
"7819",1947,65
"7820",1938,58
"7821",1939,56
"7822",1938,66
"7823",1937,57
"7824",1939,56
"7825",1935,72
"7826",1938,6
"7827",1996,98
"7828",1998,98
"7829",2004,89
"7830",1940,58
"7831",1954,90
"7832",1942,59
"7833",1955,85
"7834",1970,89
"7835",1964,80
"7836",2001,14
"7837",1998,83
"7838",1942,8
"7839",2002,111
"7840",1988,93
"7841",1996,84
"7842",2003,104
"7843",1994,98
"7844",1941,50
"7845",1936,82
"7846",2000,90
"7847",1951,124
"7848",1945,60
"7849",1986,90
"7850",1968,113
"7851",2000,82
"7852",1987,93
"7853",1990,93
"7854",1983,85
"7855",1958,80
"7856",2001,113
"7857",2000,10
"7858",1953,7
"7859",1965,6
"7860",1992,114
"7861",1998,108
"7862",1931,6
"7863",1988,117
"7864",1948,3
"7865",1999,96
"7866",2003,110
"7867",1997,97
"7868",1973,90
"7869",2002,22
"7870",1919,23
"7871",1993,94
"7872",1950,67
"7873",1957,86
"7874",1933,9
"7875",1956,98
"7876",2002,85
"7877",2000,70
"7878",2003,83
"7879",1936,67
"7880",1950,7
"7881",2001,92
"7882",1998,7
"7883",2000,88
"7884",1951,7
"7885",1965,107
"7886",1937,7
"7887",1971,88
"7888",1968,6
"7889",1995,100
"7890",1952,101
"7891",1949,100
"7892",1989,100
"7893",1968,108
"7894",1979,110
"7895",1952,78
"7896",2003,106
"7897",1966,180
"7898",2003,109
"7899",1975,89
"7900",1970,104
"7901",1996,92
"7902",1994,90
"7903",1987,113
"7904",1982,95
"7905",1998,102
"7906",1933,73
"7907",1987,103
"7908",1912,15
"7909",1957,90
"7910",1936,120
"7911",2002,94
"7912",1939,62
"7913",1935,19
"7914",1992,94
"7915",2000,108
"7916",1985,140
"7917",1971,91
"7918",2003,9
"7919",1999,109
"7920",1977,129
"7921",1915,37
"7922",1916,67
"7923",1941,72
"7924",1998,97
"7925",2002,10
"7926",1939,70
"7927",1996,27
"7928",1999,97
"7929",1990,86
"7930",1981,88
"7931",2003,95
"7932",2001,11
"7933",1956,94
"7934",1994,105
"7935",2002,75
"7936",1992,99
"7937",1999,20
"7938",1981,85
"7939",1993,104
"7940",1988,106
"7941",1990,57
"7942",1980,142
"7943",2002,89
"7944",1981,101
"7945",2001,20
"7946",1968,30
"7947",1981,89
"7948",1997,81
"7949",1976,116
"7950",1995,85
"7951",1986,12
"7952",1985,86
"7953",1947,68
"7954",1972,84
"7955",1998,90
"7956",1998,102
"7957",2003,19
"7958",1971,109
"7959",1999,87
"7960",1965,93
"7961",1956,96
"7962",2003,8
"7963",1999,23
"7964",1965,62
"7965",2000,22
"7966",1947,80
"7967",1983,91
"7968",1979,97
"7969",1947,60
"7970",1990,68
"7971",2004,80
"7972",1969,100
"7973",1919,50
"7974",1981,104
"7975",2004,15
"7976",1952,70
"7977",1950,7
"7978",1994,98
"7979",2002,103
"7980",2001,84
"7981",2000,14
"7982",1940,83
"7983",2003,31
"7984",1961,79
"7985",1963,90
"7986",1942,58
"7987",2000,28
"7988",1989,80
"7989",1996,93
"7990",1986,93
"7991",1988,102
"7992",1965,55
"7993",1957,91
"7994",1974,100
"7995",1991,104
"7996",1984,91
"7997",1981,94
"7998",1974,92
"7999",2004,57
"8000",1940,7
"8001",1931,7
"8002",1933,19
"8003",1967,101
"8004",1944,17
"8005",1956,6
"8006",1914,6
"8007",1999,85
"8008",1959,111
"8009",1999,118
"8010",1961,77
"8011",1996,101
"8012",1969,110
"8013",1979,115
"8014",1917,30
"8015",1997,109
"8016",1991,98
"8017",1976,94
"8018",1994,85
"8019",1998,101
"8020",1995,94
"8021",1990,93
"8022",1970,95
"8023",1975,112
"8024",1972,109
"8025",1982,109
"8026",1976,85
"8027",2004,120
"8028",1995,88
"8029",2001,90
"8030",1990,90
"8031",1997,97
"8032",1989,98
"8033",2000,34
"8034",1995,3
"8035",1996,7
"8036",1904,4
"8037",1926,1
"8038",1997,151
"8039",2002,88
"8040",1998,87
"8041",2000,1
"8042",1933,20
"8043",1996,80
"8044",1952,85
"8045",1933,75
"8046",2000,13
"8047",1982,92
"8048",2001,98
"8049",1961,115
"8050",1954,8
"8051",1934,82
"8052",1953,101
"8053",1915,16
"8054",1982,51
"8055",1991,91
"8056",1956,103
"8057",1968,83
"8058",1999,86
"8059",1988,85
"8060",1963,112
"8061",1999,97
"8062",1989,117
"8063",1979,110
"8064",1968,109
"8065",1995,106
"8066",1968,102
"8067",1949,7
"8068",1995,105
"8069",1997,80
"8070",1998,92
"8071",2003,15
"8072",1981,96
"8073",1997,80
"8074",1968,13
"8075",2000,11
"8076",1990,98
"8077",2000,108
"8078",1968,158
"8079",1979,98
"8080",1967,105
"8081",1974,124
"8082",1975,94
"8083",1944,4
"8084",2001,113
"8085",2002,99
"8086",1997,6
"8087",1999,90
"8088",2004,90
"8089",1980,105
"8090",1999,115
"8091",1967,84
"8092",2004,108
"8093",1949,75
"8094",1978,85
"8095",1970,90
"8096",1979,89
"8097",1984,96
"8098",1989,84
"8099",1956,146
"8100",1987,155
"8101",1981,96
"8102",1996,4
"8103",1993,89
"8104",1993,93
"8105",1994,90
"8106",2001,91
"8107",2004,100
"8108",2002,120
"8109",1934,10
"8110",1935,8
"8111",1931,17
"8112",2002,122
"8113",1952,6
"8114",1954,100
"8115",1973,105
"8116",1995,122
"8117",1972,124
"8118",1980,75
"8119",2000,3
"8120",1991,111
"8121",2001,93
"8122",1963,88
"8123",1970,94
"8124",1994,80
"8125",2002,93
"8126",1932,78
"8127",1943,98
"8128",1973,14
"8129",1962,106
"8130",1991,111
"8131",1984,14
"8132",1914,162
"8133",1996,96
"8134",1980,87
"8135",1996,92
"8136",1985,119
"8137",2004,107
"8138",1991,80
"8139",1966,103
"8140",1991,100
"8141",1947,80
"8142",1979,92
"8143",1980,85
"8144",1982,92
"8145",1998,30
"8146",1994,90
"8147",1998,91
"8148",2004,127
"8149",1995,95
"8150",1997,10
"8151",2004,100
"8152",2002,8
"8153",1973,110
"8154",1975,105
"8155",1986,93
"8156",1969,103
"8157",1930,7
"8158",2000,92
"8159",1942,17
"8160",1995,6
"8161",1971,90
"8162",1976,120
"8163",2000,21
"8164",1976,100
"8165",1989,104
"8166",1953,95
"8167",1980,98
"8168",1988,98
"8169",1982,100
"8170",1979,95
"8171",1990,97
"8172",1943,15
"8173",1954,105
"8174",1997,93
"8175",1993,96
"8176",1990,97
"8177",1996,100
"8178",1981,103
"8179",1969,150
"8180",1945,123
"8181",2000,67
"8182",1962,100
"8183",1990,88
"8184",1937,83
"8185",1962,95
"8186",1939,83
"8187",1995,104
"8188",2003,90
"8189",2003,24
"8190",1994,106
"8191",1985,87
"8192",1980,91
"8193",1978,96
"8194",1945,89
"8195",1960,70
"8196",1950,83
"8197",1975,100
"8198",2002,101
"8199",1950,96
"8200",1992,87
"8201",1992,100
"8202",1983,89
"8203",1989,86
"8204",1995,94
"8205",1974,83
"8206",1995,85
"8207",1994,72
"8208",1996,82
"8209",1941,8
"8210",1974,103
"8211",1973,103
"8212",2000,108
"8213",1991,47
"8214",1894,1
"8215",1967,95
"8216",1936,90
"8217",1971,87
"8218",1954,125
"8219",1993,102
"8220",1998,83
"8221",1942,101
"8222",1963,91
"8223",1950,83
"8224",1994,93
"8225",2002,112
"8226",2002,78
"8227",1984,102
"8228",1949,101
"8229",1956,96
"8230",1985,80
"8231",1908,12
"8232",1953,101
"8233",1949,85
"8234",1931,63
"8235",2004,89
"8236",1947,83
"8237",1969,105
"8238",1977,88
"8239",1971,110
"8240",1969,94
"8241",1993,74
"8242",1947,60
"8243",1993,90
"8244",2003,108
"8245",1948,79
"8246",1948,18
"8247",1969,128
"8248",1935,8
"8249",1970,112
"8250",1946,97
"8251",1963,86
"8252",1977,98
"8253",1996,5
"8254",1991,90
"8255",1952,78
"8256",1979,92
"8257",1995,87
"8258",1992,89
"8259",1936,56
"8260",1950,90
"8261",1975,60
"8262",1974,108
"8263",1937,67
"8264",1978,103
"8265",1997,20
"8266",1989,102
"8267",1945,8
"8268",1981,125
"8269",1996,51
"8270",1982,111
"8271",1995,83
"8272",1932,89
"8273",2001,31
"8274",1937,90
"8275",1988,93
"8276",1963,102
"8277",1997,3
"8278",1953,114
"8279",1951,96
"8280",1948,111
"8281",1942,68
"8282",1942,71
"8283",1927,17
"8284",1930,100
"8285",1949,56
"8286",1936,63
"8287",1944,56
"8288",1935,212
"8289",1972,100
"8290",2002,8
"8291",1908,16
"8292",1935,81
"8293",1938,70
"8294",1974,106
"8295",2002,111
"8296",1951,81
"8297",2000,105
"8298",1956,99
"8299",1987,97
"8300",2000,8
"8301",1939,18
"8302",1942,19
"8303",1940,63
"8304",1943,11
"8305",1935,18
"8306",2000,91
"8307",1951,80
"8308",1943,63
"8309",1942,84
"8310",1939,86
"8311",1940,7
"8312",2004,71
"8313",1956,60
"8314",1940,62
"8315",1943,55
"8316",1996,60
"8317",2000,89
"8318",1994,15
"8319",2002,13
"8320",1935,70
"8321",1976,81
"8322",1996,90
"8323",1959,76
"8324",1990,100
"8325",2004,94
"8326",1962,8
"8327",1957,86
"8328",2003,7
"8329",1957,76
"8330",1974,92
"8331",1973,90
"8332",1969,80
"8333",2004,83
"8334",2002,92
"8335",1977,89
"8336",1997,15
"8337",2001,100
"8338",1986,90
"8339",1959,95
"8340",1959,91
"8341",1977,108
"8342",1963,90
"8343",1971,86
"8344",1985,101
"8345",1967,179
"8346",1934,79
"8347",2002,29
"8348",2000,99
"8349",1951,10
"8350",1981,105
"8351",1928,75
"8352",1943,15
"8353",2003,3
"8354",1997,100
"8355",1995,101
"8356",1989,86
"8357",1984,105
"8358",1994,95
"8359",1921,72
"8360",1936,109
"8361",1969,115
"8362",1988,158
"8363",2001,60
"8364",2003,87
"8365",1988,106
"8366",1991,92
"8367",1984,90
"8368",2000,107
"8369",1977,80
"8370",1996,92
"8371",1972,100
"8372",1988,100
"8373",1982,171
"8374",1950,97
"8375",1988,81
"8376",1985,168
"8377",2003,114
"8378",1950,7
"8379",1991,86
"8380",1994,96
"8381",2002,29
"8382",2004,95
"8383",1997,100
"8384",2004,125
"8385",1987,147
"8386",1958,81
"8387",2002,70
"8388",1973,83
"8389",1973,93
"8390",1965,115
"8391",1957,102
"8392",1991,88
"8393",1997,88
"8394",1978,91
"8395",1990,100
"8396",1996,88
"8397",1934,7
"8398",1987,83
"8399",2004,100
"8400",1990,92
"8401",1959,98
"8402",2001,93
"8403",1943,95
"8404",1928,20
"8405",1938,19
"8406",1987,94
"8407",1990,3
"8408",1998,126
"8409",1969,107
"8410",1999,30
"8411",1977,73
"8412",1996,17
"8413",1992,90
"8414",1983,90
"8415",1974,92
"8416",1978,107
"8417",2000,94
"8418",1987,94
"8419",1998,101
"8420",1944,90
"8421",1999,90
"8422",1980,118
"8423",1997,77
"8424",1960,131
"8425",1978,1
"8426",1978,1
"8427",1978,5
"8428",1978,1
"8429",1979,3
"8430",1978,1
"8431",1995,91
"8432",1953,167
"8433",1949,95
"8434",1961,85
"8435",1945,118
"8436",1978,123
"8437",1954,92
"8438",1929,82
"8439",1950,7
"8440",1956,98
"8441",1972,99
"8442",1993,50
"8443",1977,63
"8444",1937,17
"8445",1937,9
"8446",1937,6
"8447",1964,84
"8448",1972,109
"8449",2001,45
"8450",2000,90
"8451",1998,24
"8452",1944,85
"8453",1944,75
"8454",1977,101
"8455",1968,115
"8456",1988,91
"8457",1989,87
"8458",1973,94
"8459",1974,80
"8460",1978,84
"8461",1975,95
"8462",1932,6
"8463",1992,99
"8464",1995,93
"8465",1988,47
"8466",1985,91
"8467",1982,101
"8468",2002,6
"8469",1953,105
"8470",1997,120
"8471",1981,95
"8472",1996,8
"8473",1974,96
"8474",1988,90
"8475",1984,101
"8476",1941,7
"8477",1945,7
"8478",1945,7
"8479",1970,85
"8480",1951,7
"8481",1967,7
"8482",1982,120
"8483",1996,88
"8484",1998,60
"8485",1954,69
"8486",1988,89
"8487",1973,84
"8488",1980,95
"8489",1988,70
"8490",1989,90
"8491",1981,93
"8492",1970,88
"8493",1987,94
"8494",1970,104
"8495",1976,90
"8496",1984,96
"8497",1981,95
"8498",1975,115
"8499",1904,2
"8500",1964,10
"8501",1948,82
"8502",2000,107
"8503",1969,95
"8504",2003,98
"8505",1944,95
"8506",1998,28
"8507",1944,96
"8508",1998,104
"8509",1992,90
"8510",1953,7
"8511",1955,83
"8512",1946,92
"8513",1956,79
"8514",1963,86
"8515",1985,90
"8516",1993,115
"8517",1948,9
"8518",1960,69
"8519",1962,105
"8520",1991,128
"8521",1967,100
"8522",2004,107
"8523",1967,102
"8524",1960,85
"8525",1962,82
"8526",1961,85
"8527",1996,129
"8528",1929,92
"8529",1943,108
"8530",1961,108
"8531",1940,9
"8532",1991,89
"8533",2003,88
"8534",1993,86
"8535",1958,85
"8536",1960,111
"8537",1991,110
"8538",1968,105
"8539",1947,97
"8540",2003,102
"8541",1975,101
"8542",1981,88
"8543",1952,95
"8544",1998,98
"8545",2003,8
"8546",2001,19
"8547",2002,15
"8548",1968,95
"8549",2003,105
"8550",1967,98
"8551",1996,111
"8552",1970,92
"8553",1978,123
"8554",1944,244
"8555",1991,97
"8556",1971,94
"8557",1931,63
"8558",1935,99
"8559",1947,92
"8560",1950,82
"8561",1940,84
"8562",1950,97
"8563",2001,131
"8564",1986,17
"8565",1945,107
"8566",1939,91
"8567",1954,7
"8568",1934,93
"8569",1951,117
"8570",1935,72
"8571",1940,65
"8572",1999,90
"8573",1924,64
"8574",1936,75
"8575",1953,75
"8576",1945,90
"8577",1954,82
"8578",1974,91
"8579",1955,92
"8580",1977,82
"8581",1970,89
"8582",1969,105
"8583",1963,126
"8584",1995,90
"8585",1952,85
"8586",1992,96
"8587",1927,87
"8588",1953,72
"8589",1953,75
"8590",1963,85
"8591",1930,65
"8592",1999,2
"8593",1945,70
"8594",2004,4
"8595",1947,140
"8596",1938,7
"8597",1953,94
"8598",1959,90
"8599",1937,115
"8600",1942,113
"8601",1995,85
"8602",1986,98
"8603",1999,70
"8604",1952,91
"8605",1950,73
"8606",1946,86
"8607",1987,97
"8608",1943,61
"8609",1952,64
"8610",2000,110
"8611",1976,80
"8612",1994,100
"8613",1979,92
"8614",1904,11
"8615",1950,91
"8616",2000,95
"8617",1995,83
"8618",1995,80
"8619",1935,52
"8620",1933,69
"8621",2003,107
"8622",1994,89
"8623",1935,67
"8624",2001,59
"8625",1999,15
"8626",1965,10
"8627",2001,2
"8628",1985,90
"8629",2003,8
"8630",1976,97
"8631",1935,72
"8632",1951,6
"8633",1977,96
"8634",1980,89
"8635",1937,7
"8636",1967,80
"8637",1962,83
"8638",2004,108
"8639",1981,89
"8640",1961,95
"8641",1985,91
"8642",1963,80
"8643",1993,90
"8644",1995,12
"8645",1974,94
"8646",1963,88
"8647",1995,29
"8648",1987,91
"8649",2003,147
"8650",2000,7
"8651",1978,100
"8652",1986,93
"8653",1946,80
"8654",2002,9
"8655",1946,53
"8656",1978,127
"8657",1952,92
"8658",1981,92
"8659",2003,3
"8660",1981,98
"8661",1952,85
"8662",1949,96
"8663",1980,85
"8664",1935,83
"8665",1909,11
"8666",1963,175
"8667",1969,2
"8668",1987,80
"8669",1986,76
"8670",1985,77
"8671",1959,105
"8672",1997,87
"8673",1991,83
"8674",2004,12
"8675",1938,83
"8676",1992,100
"8677",2004,7
"8678",1987,76
"8679",1983,110
"8680",1932,68
"8681",1925,20
"8682",1963,105
"8683",1963,97
"8684",1972,101
"8685",1937,100
"8686",2004,84
"8687",1950,80
"8688",1975,88
"8689",1973,94
"8690",1952,97
"8691",1945,65
"8692",1987,90
"8693",2004,90
"8694",1950,81
"8695",1996,95
"8696",1966,110
"8697",2003,10
"8698",1982,79
"8699",1995,96
"8700",1996,127
"8701",1993,145
"8702",2004,15
"8703",1994,103
"8704",2002,60
"8705",1999,90
"8706",2004,91
"8707",2002,91
"8708",1979,85
"8709",1995,100
"8710",1959,88
"8711",2001,82
"8712",1918,80
"8713",1926,165
"8714",1933,9
"8715",1945,124
"8716",1984,152
"8717",1995,81
"8718",1962,8
"8719",1954,108
"8720",1995,91
"8721",1959,111
"8722",1984,82
"8723",1919,60
"8724",1967,97
"8725",1938,110
"8726",1999,80
"8727",1975,63
"8728",1999,105
"8729",1986,91
"8730",2003,39
"8731",2000,88
"8732",2002,130
"8733",1990,92
"8734",1999,87
"8735",1971,98
"8736",1975,83
"8737",1980,88
"8738",1966,94
"8739",1968,90
"8740",1991,40
"8741",1977,102
"8742",1987,84
"8743",2002,96
"8744",1953,93
"8745",1991,90
"8746",1947,144
"8747",1955,105
"8748",1997,94
"8749",1935,77
"8750",1946,93
"8751",1932,62
"8752",1936,16
"8753",2002,93
"8754",1957,75
"8755",1954,95
"8756",1947,97
"8757",1970,87
"8758",1941,18
"8759",1962,84
"8760",1998,90
"8761",1996,103
"8762",1976,23
"8763",2000,74
"8764",2000,80
"8765",1993,83
"8766",1995,83
"8767",1996,85
"8768",1980,107
"8769",1976,108
"8770",1994,100
"8771",1994,88
"8772",1934,85
"8773",1955,73
"8774",1940,65
"8775",1994,88
"8776",1954,124
"8777",1956,128
"8778",1979,93
"8779",1996,80
"8780",2003,14
"8781",1989,89
"8782",1964,150
"8783",1996,89
"8784",1938,84
"8785",2000,87
"8786",1997,105
"8787",1952,118
"8788",1976,98
"8789",1985,6
"8790",1996,109
"8791",1998,87
"8792",1988,99
"8793",1995,121
"8794",1955,105
"8795",1953,103
"8796",1995,8
"8797",1980,52
"8798",1958,11
"8799",1982,102
"8800",1972,88
"8801",1957,83
"8802",1969,89
"8803",1975,90
"8804",1963,91
"8805",1969,88
"8806",1964,92
"8807",1992,91
"8808",1965,93
"8809",1962,89
"8810",1974,91
"8811",1978,88
"8812",1976,89
"8813",1973,88
"8814",1970,89
"8815",1963,91
"8816",1970,88
"8817",1972,87
"8818",1959,86
"8819",1961,90
"8820",1966,97
"8821",1958,84
"8822",1964,87
"8823",1959,86
"8824",1970,89
"8825",1971,90
"8826",1960,86
"8827",1968,88
"8828",1967,94
"8829",1974,91
"8830",1952,87
"8831",1940,57
"8832",2005,5
"8833",1972,98
"8834",1960,105
"8835",2004,96
"8836",1990,100
"8837",1978,110
"8838",1989,87
"8839",1998,18
"8840",1990,106
"8841",2003,12
"8842",1966,85
"8843",1904,3
"8844",2004,90
"8845",2004,88
"8846",1999,83
"8847",1943,7
"8848",1962,114
"8849",1991,108
"8850",1988,102
"8851",2001,91
"8852",1958,119
"8853",1999,65
"8854",2001,110
"8855",2003,22
"8856",1957,110
"8857",1989,115
"8858",1988,95
"8859",1990,95
"8860",1971,103
"8861",1956,110
"8862",1983,110
"8863",2001,93
"8864",1976,110
"8865",1995,110
"8866",1972,80
"8867",1972,90
"8868",1976,90
"8869",2003,95
"8870",1986,90
"8871",1988,110
"8872",1982,89
"8873",1960,60
"8874",1973,95
"8875",1973,90
"8876",1995,97
"8877",1988,90
"8878",1977,82
"8879",1980,76
"8880",1982,95
"8881",1997,120
"8882",1942,102
"8883",2002,14
"8884",2004,90
"8885",1988,85
"8886",1985,109
"8887",1963,101
"8888",1999,87
"8889",1975,105
"8890",2001,80
"8891",2005,90
"8892",1927,100
"8893",1990,76
"8894",1977,100
"8895",1965,115
"8896",1977,90
"8897",1944,94
"8898",1951,6
"8899",1976,166
"8900",1954,86
"8901",1995,95
"8902",1948,94
"8903",2000,96
"8904",1998,106
"8905",1958,82
"8906",1936,85
"8907",1999,23
"8908",1940,8
"8909",1936,66
"8910",1941,60
"8911",1935,80
"8912",1940,81
"8913",1974,74
"8914",1934,75
"8915",1935,78
"8916",1942,7
"8917",1956,27
"8918",1937,70
"8919",1937,8
"8920",1936,63
"8921",1954,8
"8922",1946,9
"8923",1978,117
"8924",1933,73
"8925",1998,90
"8926",1960,102
"8927",1953,9
"8928",1937,18
"8929",1961,66
"8930",2004,18
"8931",1950,87
"8932",1980,82
"8933",1995,176
"8934",1935,83
"8935",1967,131
"8936",1957,95
"8937",2002,82
"8938",1972,116
"8939",1986,110
"8940",1969,92
"8941",2002,114
"8942",1977,106
"8943",1986,84
"8944",1995,100
"8945",1945,9
"8946",1994,98
"8947",1952,94
"8948",1947,119
"8949",1986,94
"8950",1976,129
"8951",1971,120
"8952",1948,71
"8953",2004,141
"8954",1938,56
"8955",1966,4
"8956",2000,143
"8957",1957,82
"8958",1966,138
"8959",1959,82
"8960",1954,98
"8961",1981,88
"8962",1970,108
"8963",1986,117
"8964",1974,91
"8965",1931,7
"8966",1964,90
"8967",1973,110
"8968",1958,89
"8969",1904,6
"8970",1995,95
"8971",1969,105
"8972",1952,89
"8973",1942,62
"8974",1966,81
"8975",1940,77
"8976",2000,81
"8977",1966,10
"8978",1988,97
"8979",1997,85
"8980",1989,113
"8981",2004,20
"8982",2004,91
"8983",1964,7
"8984",1972,85
"8985",1965,97
"8986",1961,65
"8987",1936,8
"8988",1988,7
"8989",1989,98
"8990",1946,8
"8991",1930,75
"8992",1946,58
"8993",1958,6
"8994",1947,8
"8995",1957,69
"8996",1976,102
"8997",1948,7
"8998",1951,7
"8999",1942,73
"9000",1982,118
